STATION,NAME,DATE,MLY-DUTR-NORMAL,MLY-DUTR-STDDEV,MLY-PRCP-25PCTL,MLY-PRCP-50PCTL,MLY-PRCP-75PCTL,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-PRCP-NORMAL
USC00301492,"CINCINNATUS, NY US",1,,,2.04,2.48,3.52,16.8,7.8,1.3,0.3,2.8
USC00301492,"CINCINNATUS, NY US",3,,,2.52,3.09,3.89,14.0,8.1,2.0,0.5,3.2
USC00301492,"CINCINNATUS, NY US",5,,,2.25,3.07,5.0,12.9,8.4,2.3,0.6,3.96
USC00301492,"CINCINNATUS, NY US",6,,,3.31,4.45,5.67,14.3,9.3,3.0,0.7,4.51
USC00301492,"CINCINNATUS, NY US",7,,,2.98,3.83,4.87,12.8,8.5,3.2,0.9,4.11
USC00301492,"CINCINNATUS, NY US",8,,,2.8,3.76,5.13,11.7,7.9,2.5,1.3,4.05
USC00301492,"CINCINNATUS, NY US",10,,,2.63,3.63,5.72,13.3,8.7,2.3,0.9,4.32
USC00301492,"CINCINNATUS, NY US",11,,,3.35,3.8,4.49,14.4,8.2,2.4,0.7,3.71
USC00301492,"CINCINNATUS, NY US",12,,,2.24,3.01,4.25,15.6,7.6,1.8,0.4,3.39
USC00302582,"ELLENVILLE, NY US",1,,,2.3,3.12,4.26,9.9,6.7,2.5,0.7,3.34
USC00302582,"ELLENVILLE, NY US",2,,,1.83,2.81,3.44,7.8,6.0,2.0,0.7,2.94
USC00302582,"ELLENVILLE, NY US",3,,,2.91,3.88,5.08,9.1,7.1,2.5,0.9,3.98
USC00302582,"ELLENVILLE, NY US",4,,,2.45,3.29,5.02,9.0,6.8,2.7,1.0,3.95
USC00302582,"ELLENVILLE, NY US",5,,,2.65,3.75,5.89,10.3,7.5,3.0,0.9,4.34
USC00302582,"ELLENVILLE, NY US",6,,,2.53,3.7,6.91,9.7,7.8,3.4,1.4,4.64
USC00302582,"ELLENVILLE, NY US",7,,,2.64,4.31,5.79,9.3,7.0,3.1,1.2,4.22
USC00302582,"ELLENVILLE, NY US",8,,,3.19,3.93,4.89,8.6,6.8,2.6,1.2,4.02
USC00302582,"ELLENVILLE, NY US",9,,,2.12,4.49,5.71,8.3,6.4,2.7,1.4,4.45
USC00302582,"ELLENVILLE, NY US",10,,,1.98,3.24,5.05,8.0,6.3,2.8,1.4,4.1
USC00302582,"ELLENVILLE, NY US",11,,,2.77,3.95,5.32,8.5,6.5,3.3,1.1,3.94
USC00302582,"ELLENVILLE, NY US",12,,,2.34,3.81,5.61,8.6,6.8,3.0,0.9,3.89
USC00303033,"FREDONIA, NY US",1,13.0,1.7,1.66,2.53,3.73,14.3,8.1,1.1,0.2,2.84
USC00303033,"FREDONIA, NY US",2,15.4,2.4,1.57,1.94,2.62,11.7,6.4,0.9,0.2,2.13
USC00303033,"FREDONIA, NY US",3,17.5,2.0,1.79,2.36,3.44,11.2,7.1,1.3,0.1,2.59
USC00303033,"FREDONIA, NY US",4,19.7,1.8,2.06,3.26,4.38,10.5,7.7,2.0,0.4,3.27
USC00303033,"FREDONIA, NY US",5,20.0,1.9,2.4,3.19,4.81,10.1,7.0,2.7,0.6,3.57
USC00303033,"FREDONIA, NY US",6,18.8,1.8,2.46,3.54,4.68,9.2,7.1,2.6,0.9,3.71
USC00303033,"FREDONIA, NY US",7,17.7,1.7,2.67,3.91,4.82,9.1,6.9,2.7,1.0,4.09
USC00303033,"FREDONIA, NY US",8,17.3,1.3,2.61,3.47,4.6,8.7,6.5,2.4,0.9,3.7
USC00303033,"FREDONIA, NY US",9,17.5,1.7,3.54,4.77,5.61,9.1,7.3,3.1,1.4,4.5
USC00303033,"FREDONIA, NY US",10,16.4,1.8,3.12,4.09,5.02,10.1,7.9,2.8,0.9,4.21
USC00303033,"FREDONIA, NY US",11,14.1,1.8,3.08,3.8,4.46,11.7,8.6,2.9,0.7,4.1
USC00301095,"CAIRO 4 NW, NY US",1,18.9,2.1,1.75,2.59,4.37,9.2,5.3,2.1,0.8,3.18
USC00301095,"CAIRO 4 NW, NY US",2,20.8,3.0,1.48,1.89,3.0,7.6,5.1,2.0,0.7,2.59
USC00301095,"CAIRO 4 NW, NY US",3,21.1,2.7,2.37,3.35,4.59,9.3,6.0,2.2,0.9,3.63
USC00301095,"CAIRO 4 NW, NY US",4,23.1,3.0,2.01,2.91,4.55,9.9,6.4,2.3,0.9,3.77
USC00301095,"CAIRO 4 NW, NY US",5,24.7,2.1,2.25,2.91,3.74,10.3,6.7,2.0,0.7,3.35
USC00301095,"CAIRO 4 NW, NY US",6,23.3,3.2,1.98,3.14,5.14,10.6,7.1,2.2,0.8,3.97
USC00301095,"CAIRO 4 NW, NY US",7,23.5,2.2,2.19,3.62,4.67,9.5,6.1,2.1,0.7,3.49
USC00301095,"CAIRO 4 NW, NY US",8,23.7,2.0,2.2,2.84,3.63,9.2,5.7,2.0,0.8,3.37
USC00301095,"CAIRO 4 NW, NY US",9,23.7,2.7,2.16,3.56,4.8,9.1,6.2,2.5,1.0,3.8
USC00301095,"CAIRO 4 NW, NY US",11,19.1,2.3,2.06,3.97,4.39,8.6,5.5,2.3,1.2,3.74
USC00301095,"CAIRO 4 NW, NY US",12,17.5,2.2,1.75,3.06,5.17,8.5,5.4,2.1,1.0,3.41
USC00302060,"DEPOSIT, NY US",1,18.1,2.3,1.93,2.56,3.94,16.2,6.7,1.7,0.3,2.87
USC00302060,"DEPOSIT, NY US",2,19.5,3.5,1.69,2.09,3.26,13.3,6.3,1.5,0.2,2.48
USC00302060,"DEPOSIT, NY US",3,21.6,3.0,2.16,2.83,3.71,13.9,7.2,1.9,0.4,3.26
USC00302060,"DEPOSIT, NY US",4,24.8,2.9,3.19,3.47,4.79,13.9,8.3,2.6,0.7,3.91
USC00302060,"DEPOSIT, NY US",5,26.0,2.1,2.42,3.57,5.16,13.8,9.0,3.1,0.6,4.04
USC00302060,"DEPOSIT, NY US",6,24.1,2.8,2.76,3.81,5.66,13.5,8.3,3.1,0.8,4.21
USC00302060,"DEPOSIT, NY US",7,23.4,1.9,2.71,3.86,5.7,11.8,7.9,2.8,0.9,4.13
USC00302060,"DEPOSIT, NY US",9,21.8,2.8,1.95,3.73,4.91,11.7,6.9,2.3,0.8,3.93
USC00302060,"DEPOSIT, NY US",10,22.0,2.9,2.05,3.13,5.48,13.0,7.0,2.5,0.9,3.88
USC00302060,"DEPOSIT, NY US",11,17.8,2.8,2.41,3.8,4.55,14.6,7.9,2.4,0.8,3.7
USC00302060,"DEPOSIT, NY US",12,15.3,2.3,1.99,2.89,4.18,15.9,7.1,2.0,0.6,3.1
USC00304808,"LITTLE VALLEY, NY US",1,16.6,2.0,2.68,3.48,4.45,19.1,10.7,1.4,0.2,3.75
USC00304808,"LITTLE VALLEY, NY US",2,19.3,2.5,1.92,2.77,3.2,14.3,7.7,1.1,0.2,2.74
USC00304808,"LITTLE VALLEY, NY US",3,21.4,2.6,2.71,3.28,4.32,14.7,8.3,1.6,0.2,3.45
USC00304808,"LITTLE VALLEY, NY US",4,23.3,2.6,2.84,3.5,4.22,13.7,9.7,2.2,0.4,3.68
USC00304808,"LITTLE VALLEY, NY US",5,25.3,2.2,2.16,3.37,5.14,12.3,8.2,2.6,0.4,3.73
USC00304808,"LITTLE VALLEY, NY US",6,24.1,2.5,2.7,4.55,5.67,13.6,9.8,2.9,0.9,4.48
USC00304808,"LITTLE VALLEY, NY US",7,23.8,2.1,3.43,4.49,5.5,12.3,8.9,3.6,1.1,4.72
USC00304808,"LITTLE VALLEY, NY US",8,22.9,2.0,2.97,3.87,4.98,12.0,8.2,2.6,0.8,4.19
USC00304808,"LITTLE VALLEY, NY US",9,22.6,2.8,3.13,4.5,5.98,12.2,8.6,3.3,0.8,4.53
USC00304808,"LITTLE VALLEY, NY US",10,21.3,2.4,3.12,3.71,5.22,14.0,9.5,2.8,0.7,4.19
USC00304808,"LITTLE VALLEY, NY US",11,17.0,2.8,3.0,4.07,5.33,15.7,9.9,3.3,0.6,4.31
USW00014732,"LA GUARDIA AIRPORT, NY US",1,12.7,1.4,1.97,3.05,4.11,10.3,5.8,2.1,0.7,3.17
USW00014732,"LA GUARDIA AIRPORT, NY US",2,13.8,1.7,1.75,2.83,3.44,9.6,5.5,1.8,0.6,2.76
USW00014732,"LA GUARDIA AIRPORT, NY US",3,15.2,1.6,2.39,3.98,5.08,10.7,6.8,2.6,1.0,3.97
USW00014732,"LA GUARDIA AIRPORT, NY US",4,16.5,1.3,2.55,3.48,4.8,10.9,6.6,2.4,1.2,4.0
USW00014732,"LA GUARDIA AIRPORT, NY US",6,16.7,1.6,2.13,3.43,5.25,10.5,6.6,2.6,1.0,3.94
USW00014732,"LA GUARDIA AIRPORT, NY US",7,15.8,1.3,2.52,4.43,5.77,9.9,6.5,3.0,1.3,4.5
USW00014732,"LA GUARDIA AIRPORT, NY US",8,14.8,1.3,2.67,4.21,5.39,8.7,6.1,2.8,1.1,4.12
USW00014732,"LA GUARDIA AIRPORT, NY US",10,14.2,1.3,1.65,3.33,5.44,8.5,5.2,2.6,1.0,3.78
USW00014732,"LA GUARDIA AIRPORT, NY US",11,12.9,1.8,2.17,3.16,4.24,9.2,5.9,2.6,0.8,3.41
USW00014732,"LA GUARDIA AIRPORT, NY US",12,12.2,1.3,2.22,3.58,4.89,10.5,6.6,2.7,0.9,3.56
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",1,12.7,1.5,2.15,2.91,4.26,19.2,8.7,1.4,0.4,3.18
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",2,14.1,1.8,1.71,2.44,2.98,16.0,7.2,1.0,0.2,2.49
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",3,16.0,1.9,2.12,2.87,3.28,15.1,7.6,1.5,0.2,2.87
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",4,18.2,1.9,2.05,2.76,4.02,13.1,7.9,1.7,0.2,3.01
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",5,19.0,1.5,2.54,3.47,4.39,12.7,7.7,2.3,0.5,3.46
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",6,18.0,1.7,1.93,3.18,4.9,12.1,7.8,2.1,0.6,3.66
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",7,17.6,1.6,1.82,3.12,4.37,10.6,6.3,2.2,0.8,3.23
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",8,17.6,1.2,2.13,3.23,4.17,10.1,6.5,2.4,0.7,3.26
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",9,17.7,1.7,3.19,3.86,4.89,11.4,7.0,2.6,1.0,3.9
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",10,16.3,1.3,2.64,3.16,4.33,12.9,8.0,2.5,0.5,3.52
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",11,13.6,1.4,2.99,3.58,4.83,15.0,9.0,2.4,0.7,4.01
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",12,12.0,2.0,2.78,3.62,4.37,18.3,9.9,2.2,0.5,3.89
USC00305180,"MAYVILLE, NY US",1,,,,,,,,,,3.48
USC00305180,"MAYVILLE, NY US",2,,,,,,,,,,2.73
USC00305180,"MAYVILLE, NY US",3,,,,,,,,,,3.02
USC00305180,"MAYVILLE, NY US",4,,,,,,,,,,4.02
USC00305180,"MAYVILLE, NY US",5,,,,,,,,,,4.1
USC00305180,"MAYVILLE, NY US",8,,,,,,,,,,4.18
USC00305180,"MAYVILLE, NY US",9,,,,,,,,,,5.26
USC00305180,"MAYVILLE, NY US",10,,,,,,,,,,4.03
USC00305180,"MAYVILLE, NY US",11,,,,,,,,,,5.22
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1,16.2,1.7,1.67,2.2,3.73,12.8,5.7,1.9,0.3,2.59
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",3,18.6,2.0,2.26,3.14,3.99,12.1,6.5,2.2,0.6,3.21
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",4,21.1,2.0,1.99,2.73,4.23,11.9,6.9,1.9,0.5,3.17
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",5,22.3,2.0,2.59,3.25,4.95,13.1,7.8,2.7,0.5,3.61
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6,21.4,2.5,2.08,3.45,5.43,12.2,7.6,2.6,0.8,3.79
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7,20.9,1.8,2.34,3.55,6.46,10.8,6.9,2.7,1.0,4.12
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8,20.5,1.2,2.24,3.43,4.14,10.7,6.8,2.3,0.7,3.46
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9,20.6,2.0,2.16,2.94,3.86,9.8,6.2,2.0,0.8,3.3
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10,20.2,1.9,2.04,3.44,4.95,10.4,6.2,2.5,0.8,3.68
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11,16.4,2.1,2.07,3.33,4.58,11.7,6.8,2.4,0.7,3.29
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",12,14.6,1.8,2.01,2.94,3.92,11.9,6.7,1.9,0.4,2.93
USC00307484,"SARATOGA SPRINGS 4 SW, NY US",1,18.5,2.3,2.11,3.22,4.43,11.3,7.0,2.3,0.6,3.29
USC00307484,"SARATOGA SPRINGS 4 SW, NY US",3,21.6,2.5,2.09,3.66,4.48,10.0,7.0,2.4,0.9,3.44
USC00307484,"SARATOGA SPRINGS 4 SW, NY US",4,24.6,2.3,2.53,3.13,4.67,11.1,7.4,2.6,0.6,3.6
USC00307484,"SARATOGA SPRINGS 4 SW, NY US",5,25.7,1.8,2.49,3.33,5.32,13.0,8.3,2.7,1.1,4.08
USC00307484,"SARATOGA SPRINGS 4 SW, NY US",7,23.6,1.7,1.78,4.78,5.94,11.6,7.3,3.1,1.1,4.53
USC00307484,"SARATOGA SPRINGS 4 SW, NY US",8,23.2,1.5,3.11,3.7,5.31,10.5,6.9,3.0,1.0,4.21
USC00307484,"SARATOGA SPRINGS 4 SW, NY US",9,23.2,2.3,2.63,3.05,3.68,10.3,6.5,2.4,0.9,3.6
USC00307484,"SARATOGA SPRINGS 4 SW, NY US",10,22.3,2.2,2.57,3.37,5.51,10.3,6.6,2.6,1.0,4.01
USC00307484,"SARATOGA SPRINGS 4 SW, NY US",11,17.8,2.1,2.85,3.82,4.94,11.0,7.4,2.9,0.9,3.79
USC00307484,"SARATOGA SPRINGS 4 SW, NY US",12,15.8,2.1,2.39,3.51,4.49,11.5,7.5,2.4,0.7,3.57
USC00309389,"WHITEHALL, NY US",1,19.9,2.8,2.05,2.71,3.78,10.3,6.2,2.1,0.7,3.03
USC00309389,"WHITEHALL, NY US",2,22.8,3.6,1.63,2.0,3.17,8.3,5.4,2.0,0.5,2.49
USC00309389,"WHITEHALL, NY US",3,22.3,2.4,2.04,2.41,3.88,9.9,6.2,1.9,0.8,2.86
USC00309389,"WHITEHALL, NY US",4,23.7,2.7,2.1,2.95,4.37,10.6,6.8,2.4,0.7,3.15
USC00309389,"WHITEHALL, NY US",5,25.0,2.4,2.28,3.06,4.65,13.4,7.9,2.3,0.6,3.57
USC00309389,"WHITEHALL, NY US",6,24.7,2.9,2.3,3.57,4.85,12.3,7.5,2.6,1.0,3.95
USC00309389,"WHITEHALL, NY US",7,24.1,2.4,2.76,4.32,6.12,11.4,7.5,2.8,1.3,4.61
USC00309389,"WHITEHALL, NY US",8,23.2,1.9,2.17,3.56,5.39,10.7,6.9,2.5,1.3,3.97
USC00309389,"WHITEHALL, NY US",9,23.1,2.3,2.13,2.89,4.85,9.6,6.1,2.3,1.0,3.71
USC00309389,"WHITEHALL, NY US",10,21.4,2.0,2.25,3.35,5.64,11.5,7.1,2.6,1.0,4.02
USC00309389,"WHITEHALL, NY US",12,16.3,2.1,1.93,2.68,4.39,10.9,6.4,2.4,0.6,3.2
USC00301401,"CHAZY, NY US",1,19.2,3.3,,,,,,,,
USC00301401,"CHAZY, NY US",2,20.3,2.7,,,,,,,,
USC00301401,"CHAZY, NY US",3,19.8,2.0,,,,,,,,
USC00301401,"CHAZY, NY US",4,21.4,2.2,,,,,,,,
USC00301401,"CHAZY, NY US",5,22.7,2.2,,,,,,,,
USC00301401,"CHAZY, NY US",6,21.9,2.5,,,,,,,,
USC00301401,"CHAZY, NY US",7,21.0,2.4,,,,,,,,
USC00301401,"CHAZY, NY US",8,21.3,2.1,,,,,,,,
USC00301401,"CHAZY, NY US",9,20.5,1.7,,,,,,,,
USC00301401,"CHAZY, NY US",10,18.4,1.9,,,,,,,,
USC00301401,"CHAZY, NY US",11,15.7,2.0,,,,,,,,
USC00302610,"ELMIRA, NY US",1,17.8,1.9,1.36,1.8,2.61,11.8,5.4,1.0,0.2,1.92
USC00302610,"ELMIRA, NY US",3,21.6,2.5,1.48,2.49,3.57,11.2,6.3,1.6,0.4,2.72
USC00302610,"ELMIRA, NY US",4,24.3,2.6,2.13,2.79,4.07,12.5,7.2,1.7,0.4,3.09
USC00302610,"ELMIRA, NY US",5,26.7,2.0,1.79,2.85,4.41,13.1,7.6,2.0,0.5,3.11
USC00302610,"ELMIRA, NY US",6,25.4,2.6,3.21,4.41,5.56,12.9,8.2,3.2,0.9,4.29
USC00302610,"ELMIRA, NY US",7,25.0,2.1,2.03,3.47,5.24,11.8,7.4,2.7,0.8,3.74
USC00302610,"ELMIRA, NY US",8,25.1,2.3,2.43,2.9,4.54,11.0,6.5,2.1,0.9,3.63
USC00302610,"ELMIRA, NY US",9,25.0,2.7,2.17,2.99,4.25,10.7,6.6,2.0,0.7,3.49
USC00302610,"ELMIRA, NY US",10,23.8,3.0,1.85,2.55,3.67,11.5,6.3,1.9,0.5,3.08
USC00302610,"ELMIRA, NY US",11,18.8,2.2,2.3,2.84,3.99,11.6,6.5,2.0,0.6,3.04
USC00302610,"ELMIRA, NY US",12,16.3,2.2,1.65,2.12,3.15,11.3,5.7,1.3,0.3,2.33
USC00309425,"WHITESVILLE, NY US",1,,,1.47,2.09,3.03,15.6,6.2,1.0,0.1,2.21
USC00309425,"WHITESVILLE, NY US",2,,,1.3,1.64,2.44,12.2,5.3,0.9,0.1,1.91
USC00309425,"WHITESVILLE, NY US",4,,,2.42,3.17,3.8,13.9,7.6,2.1,0.3,3.1
USC00309425,"WHITESVILLE, NY US",5,,,2.16,3.11,4.07,13.3,7.9,2.3,0.6,3.44
USC00309425,"WHITESVILLE, NY US",6,,,3.22,4.13,6.22,13.2,9.0,3.2,1.2,4.59
USC00309425,"WHITESVILLE, NY US",7,,,2.46,3.51,4.56,11.9,7.8,2.6,0.6,3.78
USC00309425,"WHITESVILLE, NY US",8,,,2.54,3.41,4.59,11.5,7.6,2.2,0.7,3.63
USC00309425,"WHITESVILLE, NY US",9,,,2.1,2.86,4.67,12.1,7.4,2.0,0.9,3.47
USC00309425,"WHITESVILLE, NY US",10,,,2.15,2.78,4.09,12.9,7.4,1.7,0.6,3.2
USC00309425,"WHITESVILLE, NY US",11,,,2.23,2.95,4.19,14.7,7.3,2.1,0.5,3.18
USC00301521,"CLARYVILLE, NY US",2,,,2.28,2.72,3.71,11.1,6.2,2.4,0.7,3.24
USC00301521,"CLARYVILLE, NY US",3,,,3.01,4.21,5.01,12.9,7.7,2.6,0.9,3.94
USC00301521,"CLARYVILLE, NY US",4,,,2.96,4.14,5.57,13.7,7.9,2.6,1.2,4.39
USC00301521,"CLARYVILLE, NY US",5,,,3.2,4.14,5.76,14.1,8.9,2.9,1.1,4.76
USC00301521,"CLARYVILLE, NY US",6,,,3.03,4.38,6.98,13.3,8.7,3.6,1.2,4.85
USC00301521,"CLARYVILLE, NY US",8,,,2.86,4.49,6.14,12.4,7.7,2.9,1.3,4.68
USC00301521,"CLARYVILLE, NY US",9,,,2.9,4.81,6.06,10.9,6.8,3.0,1.6,5.02
USC00301521,"CLARYVILLE, NY US",10,,,3.25,4.91,6.46,11.9,7.5,3.3,1.3,5.33
USC00301521,"CLARYVILLE, NY US",11,,,3.27,4.53,5.85,13.4,7.3,3.0,1.2,4.45
USC00301521,"CLARYVILLE, NY US",12,,,3.07,4.0,5.84,14.8,7.5,3.1,0.9,4.26
USC00302454,"EAST SIDNEY, NY US",1,19.7,,,,,,,,,
USC00302454,"EAST SIDNEY, NY US",2,20.3,,,,,,,,,
USC00302454,"EAST SIDNEY, NY US",3,21.8,,,,,,,,,
USC00302454,"EAST SIDNEY, NY US",4,25.3,,,,,,,,,
USC00302454,"EAST SIDNEY, NY US",5,26.4,,,,,,,,,
USC00302454,"EAST SIDNEY, NY US",6,24.2,,,,,,,,,
USC00302454,"EAST SIDNEY, NY US",8,25.1,,,,,,,,,
USC00302454,"EAST SIDNEY, NY US",9,24.2,,,,,,,,,
USC00302454,"EAST SIDNEY, NY US",10,21.8,,,,,,,,,
USC00302454,"EAST SIDNEY, NY US",11,18.0,,,,,,,,,
USC00302454,"EAST SIDNEY, NY US",12,16.4,,,,,,,,,
USC00304772,"LINDLEY 2 N, NY US",1,,,0.75,1.87,2.98,8.6,4.4,1.2,0.3,2.03
USC00304772,"LINDLEY 2 N, NY US",2,,,0.75,1.35,1.95,7.8,4.1,0.7,0.2,1.61
USC00304772,"LINDLEY 2 N, NY US",3,,,1.46,2.13,2.58,8.5,5.1,1.4,0.4,2.32
USC00304772,"LINDLEY 2 N, NY US",4,,,1.62,2.48,3.19,10.0,6.0,1.7,0.3,2.63
USC00304772,"LINDLEY 2 N, NY US",5,,,1.32,2.35,4.11,10.4,6.4,2.1,0.3,2.89
USC00304772,"LINDLEY 2 N, NY US",6,,,2.67,3.87,5.45,10.7,7.3,3.0,1.1,4.09
USC00304772,"LINDLEY 2 N, NY US",7,,,1.62,2.81,4.75,9.0,5.7,2.2,0.7,3.08
USC00304772,"LINDLEY 2 N, NY US",8,,,2.16,2.89,3.93,9.0,5.6,2.0,0.8,3.17
USC00304772,"LINDLEY 2 N, NY US",9,,,1.81,3.24,4.97,8.7,5.6,2.2,0.8,3.51
USC00304772,"LINDLEY 2 N, NY US",10,,,1.79,2.31,2.84,8.6,5.1,1.8,0.6,2.81
USC00304772,"LINDLEY 2 N, NY US",11,,,1.92,2.71,3.54,9.1,5.3,1.8,0.6,2.84
USC00304772,"LINDLEY 2 N, NY US",12,,,1.37,1.88,2.58,8.2,4.6,1.3,0.3,2.07
USC00301761,"COPAKE, NY US",1,21.4,2.9,1.67,2.58,4.04,11.7,6.7,2.2,0.4,2.94
USC00301761,"COPAKE, NY US",2,22.3,2.5,1.66,2.2,3.0,9.6,6.0,1.1,0.1,2.54
USC00301761,"COPAKE, NY US",4,26.0,2.3,2.24,3.25,3.93,11.6,7.1,1.7,0.5,3.32
USC00301761,"COPAKE, NY US",5,26.7,2.0,2.13,3.54,4.71,14.2,7.9,2.4,0.9,3.78
USC00301761,"COPAKE, NY US",6,24.0,3.8,2.52,3.66,5.56,12.1,7.3,2.5,0.8,4.13
USC00301761,"COPAKE, NY US",7,24.8,2.0,2.64,3.77,5.72,10.6,6.3,2.3,1.1,4.15
USC00301761,"COPAKE, NY US",8,24.5,2.3,2.02,3.61,5.28,10.9,6.7,2.4,1.2,4.09
USC00301761,"COPAKE, NY US",11,20.6,2.5,2.24,3.3,3.97,11.1,6.2,2.3,0.8,3.4
USC00301761,"COPAKE, NY US",12,18.8,1.8,1.89,2.84,4.48,11.1,6.6,2.3,0.7,3.2
USC00302574,"ELLENBURG DEPOT, NY US",1,,,1.12,1.56,2.2,13.3,5.4,0.6,0.1,1.8
USC00302574,"ELLENBURG DEPOT, NY US",2,,,1.16,1.49,2.11,10.7,5.1,0.5,0.1,1.55
USC00302574,"ELLENBURG DEPOT, NY US",3,,,1.25,1.91,2.61,11.1,5.6,1.0,0.1,2.0
USC00302574,"ELLENBURG DEPOT, NY US",4,,,1.53,2.4,3.57,11.2,6.2,1.4,0.4,2.54
USC00302574,"ELLENBURG DEPOT, NY US",5,,,1.64,2.77,3.94,12.3,7.6,1.7,0.3,2.85
USC00302574,"ELLENBURG DEPOT, NY US",6,,,2.59,3.32,4.02,12.7,8.4,2.4,0.6,3.55
USC00302574,"ELLENBURG DEPOT, NY US",7,,,2.69,3.83,5.25,12.1,8.4,3.0,0.8,4.04
USC00302574,"ELLENBURG DEPOT, NY US",8,,,2.77,3.42,4.54,10.7,7.3,2.6,0.9,3.76
USC00302574,"ELLENBURG DEPOT, NY US",9,,,2.34,2.98,4.13,11.2,6.9,1.9,0.6,3.33
USC00302574,"ELLENBURG DEPOT, NY US",10,,,2.25,2.88,4.26,12.1,7.3,1.9,0.6,3.32
USC00302574,"ELLENBURG DEPOT, NY US",11,,,2.15,2.63,3.43,12.9,7.2,1.6,0.3,2.84
USC00302574,"ELLENBURG DEPOT, NY US",12,,,1.35,1.82,2.94,13.8,6.2,0.9,0.2,2.18
USC00303025,"FRANKLINVILLE, NY US",1,17.9,2.0,2.09,2.56,3.29,18.8,8.5,0.9,0.1,2.79
USC00303025,"FRANKLINVILLE, NY US",2,20.7,3.0,1.69,1.95,2.64,15.0,6.5,0.6,0.1,2.11
USC00303025,"FRANKLINVILLE, NY US",3,22.2,2.3,2.11,2.7,3.35,15.1,7.8,1.4,0.2,2.78
