STATION,NAME,DATE,MLY-TAVG-NORMAL,MLY-TAVG-STDDEV,MLY-TMAX-NORMAL,MLY-TMAX-STDDEV,MLY-TMIN-NORMAL,MLY-TMIN-STDDEV
USC00301492,"CINCINNATUS, NY US",1,,,,,,
USC00301492,"CINCINNATUS, NY US",2,,,,,,
USC00301492,"CINCINNATUS, NY US",3,,,,,,
USC00301492,"CINCINNATUS, NY US",4,,,,,,
USC00301492,"CINCINNATUS, NY US",5,,,,,,
USC00301492,"CINCINNATUS, NY US",6,,,,,,
USC00301492,"CINCINNATUS, NY US",7,,,,,,
USC00301492,"CINCINNATUS, NY US",8,,,,,,
USC00301492,"CINCINNATUS, NY US",9,,,,,,
USC00301492,"CINCINNATUS, NY US",10,,,,,,
USC00301492,"CINCINNATUS, NY US",11,,,,,,
USC00301492,"CINCINNATUS, NY US",12,,,,,,
USC00302582,"ELLENVILLE, NY US",1,,,,,,
USC00302582,"ELLENVILLE, NY US",2,,,,,,
USC00302582,"ELLENVILLE, NY US",3,,,,,,
USC00302582,"ELLENVILLE, NY US",4,,,,,,
USC00302582,"ELLENVILLE, NY US",5,,,,,,
USC00302582,"ELLENVILLE, NY US",6,,,,,,
USC00302582,"ELLENVILLE, NY US",7,,,,,,
USC00302582,"ELLENVILLE, NY US",8,,,,,,
USC00302582,"ELLENVILLE, NY US",9,,,,,,
USC00302582,"ELLENVILLE, NY US",10,,,,,,
USC00302582,"ELLENVILLE, NY US",11,,,,,,
USC00302582,"ELLENVILLE, NY US",12,,,,,,
USC00303033,"FREDONIA, NY US",1,27.0,5.3,33.6,5.3,20.5,5.4
USC00303033,"FREDONIA, NY US",2,28.5,4.2,36.2,4.8,20.9,3.9
USC00303033,"FREDONIA, NY US",3,36.1,3.3,44.8,3.8,27.4,3.2
USC00303033,"FREDONIA, NY US",4,48.1,2.6,57.9,3.0,38.2,2.5
USC00303033,"FREDONIA, NY US",5,58.4,3.2,68.4,3.7,48.4,2.9
USC00303033,"FREDONIA, NY US",6,67.6,2.4,77.1,2.6,58.2,2.5
USC00303033,"FREDONIA, NY US",7,71.6,2.3,80.5,2.6,62.8,2.2
USC00303033,"FREDONIA, NY US",8,70.4,2.1,79.1,2.3,61.8,2.2
USC00303033,"FREDONIA, NY US",9,64.2,1.9,73.0,2.2,55.5,1.9
USC00303033,"FREDONIA, NY US",10,53.4,2.7,61.6,3.0,45.2,2.6
USC00303033,"FREDONIA, NY US",11,43.4,3.2,50.5,3.8,36.4,2.7
USC00303033,"FREDONIA, NY US",12,32.2,4.6,38.2,5.1,26.3,4.3
USC00301095,"CAIRO 4 NW, NY US",1,22.9,5.7,32.4,5.1,13.4,6.3
USC00301095,"CAIRO 4 NW, NY US",2,25.9,3.9,36.3,3.9,15.5,4.5
USC00301095,"CAIRO 4 NW, NY US",3,34.6,3.5,45.1,4.1,24.1,3.3
USC00301095,"CAIRO 4 NW, NY US",4,46.6,2.8,58.1,3.8,35.0,2.2
USC00301095,"CAIRO 4 NW, NY US",5,57.3,2.6,69.6,3.4,45.0,2.2
USC00301095,"CAIRO 4 NW, NY US",6,66.2,2.1,77.8,3.1,54.5,2.1
USC00301095,"CAIRO 4 NW, NY US",7,70.8,2.1,82.6,2.5,59.1,2.2
USC00301095,"CAIRO 4 NW, NY US",8,69.1,2.1,81.0,2.6,57.3,1.9
USC00301095,"CAIRO 4 NW, NY US",9,61.0,2.2,72.9,2.8,49.2,2.4
USC00301095,"CAIRO 4 NW, NY US",10,49.3,3.0,60.9,3.3,37.7,3.1
USC00301095,"CAIRO 4 NW, NY US",11,39.7,2.6,49.3,3.1,30.2,2.6
USC00301095,"CAIRO 4 NW, NY US",12,28.9,4.4,37.7,4.7,20.2,4.3
USC00302060,"DEPOSIT, NY US",1,22.6,5.3,31.7,4.9,13.6,5.9
USC00302060,"DEPOSIT, NY US",2,25.9,4.2,35.6,4.1,16.1,4.9
USC00302060,"DEPOSIT, NY US",3,34.4,3.3,45.2,4.2,23.6,3.0
USC00302060,"DEPOSIT, NY US",4,46.7,2.5,59.1,3.4,34.3,2.2
USC00302060,"DEPOSIT, NY US",5,56.9,2.8,69.9,3.2,43.9,2.7
USC00302060,"DEPOSIT, NY US",6,65.5,2.2,77.5,2.6,53.4,2.6
USC00302060,"DEPOSIT, NY US",7,69.3,2.1,81.0,2.5,57.6,2.2
USC00302060,"DEPOSIT, NY US",8,68.1,2.2,79.6,2.9,56.7,2.2
USC00302060,"DEPOSIT, NY US",9,60.8,1.9,71.6,2.6,49.9,2.1
USC00302060,"DEPOSIT, NY US",10,49.5,2.9,60.5,3.5,38.5,2.9
USC00302060,"DEPOSIT, NY US",11,39.2,2.8,48.1,3.6,30.3,2.5
USC00302060,"DEPOSIT, NY US",12,28.1,4.7,35.7,4.6,20.5,5.0
